chip,gene_set_mode,gene_set_id,gene_set_normalized,gene_set_name,go_ontology,root_node,n_probes
hu35ksuba,GO_BP,GO:0006670,GO:0006670,sphingosine metabolic process,BP,biological_process,2
hu35ksuba,GO_BP,GO:0006672,GO:0006672,ceramide metabolic process,BP,biological_process,10
hu35ksuba,GO_BP,GO:0006678,GO:0006678,glucosylceramide metabolic process,BP,biological_process,1
hu35ksuba,GO_BP,GO:0006679,GO:0006679,glucosylceramide biosynthetic process,BP,biological_process,4
hu35ksuba,GO_BP,GO:0006680,GO:0006680,glucosylceramide catabolic process,BP,biological_process,2
hu35ksuba,GO_BP,GO:0006682,GO:0006682,galactosylceramide biosynthetic process,BP,biological_process,1
hu35ksuba,GO_BP,GO:0006684,GO:0006684,sphingomyelin metabolic process,BP,biological_process,1
hu35ksuba,GO_BP,GO:0006685,GO:0006685,sphingomyelin catabolic process,BP,biological_process,2
hu35ksuba,GO_BP,GO:0006686,GO:0006686,sphingomyelin biosynthetic process,BP,biological_process,15
hu35ksuba,GO_BP,GO:0006688,GO:0006688,glycosphingolipid biosynthetic process,BP,biological_process,11
hu35ksuba,GO_BP,GO:0006690,GO:0006690,icosanoid metabolic process,BP,biological_process,4
hu35ksuba,GO_BP,GO:0006691,GO:0006691,leukotriene metabolic process,BP,biological_process,5
hu35ksuba,GO_BP,GO:0006693,GO:0006693,prostaglandin metabolic process,BP,biological_process,9
hu35ksuba,GO_BP,GO:0006694,GO:0006694,steroid biosynthetic process,BP,biological_process,26
hu35ksuba,GO_BP,GO:0006695,GO:0006695,cholesterol biosynthetic process,BP,biological_process,14
hu35ksuba,GO_BP,GO:0006699,GO:0006699,bile acid biosynthetic process,BP,biological_process,10
hu35ksuba,GO_BP,GO:0006702,GO:0006702,androgen biosynthetic process,BP,biological_process,6
hu35ksuba,GO_BP,GO:0006703,GO:0006703,estrogen biosynthetic process,BP,biological_process,6
hu35ksuba,GO_BP,GO:0006710,GO:0006710,androgen catabolic process,BP,biological_process,2
hu35ksuba,GO_BP,GO:0006711,GO:0006711,estrogen catabolic process,BP,biological_process,1
hu35ksuba,GO_BP,GO:0006720,GO:0006720,isoprenoid metabolic process,BP,biological_process,3
hu35ksuba,GO_BP,GO:0006721,GO:0006721,terpenoid metabolic process,BP,biological_process,2
hu35ksuba,GO_BP,GO:0006730,GO:0006730,one-carbon metabolic process,BP,biological_process,9
hu35ksuba,GO_BP,GO:0006739,GO:0006739,NADP metabolic process,BP,biological_process,4
hu35ksuba,GO_BP,GO:0006740,GO:0006740,NADPH regeneration,BP,biological_process,2
hu35ksuba,GO_BP,GO:0006741,GO:0006741,NADP biosynthetic process,BP,biological_process,5
hu35ksuba,GO_BP,GO:0006744,GO:0006744,ubiquinone biosynthetic process,BP,biological_process,12
hu35ksuba,GO_BP,GO:0006749,GO:0006749,glutathione metabolic process,BP,biological_process,11
hu35ksuba,GO_BP,GO:0006750,GO:0006750,glutathione biosynthetic process,BP,biological_process,5
hu35ksuba,GO_BP,GO:0006751,GO:0006751,glutathione catabolic process,BP,biological_process,2
hu35ksuba,GO_BP,GO:0006753,GO:0006753,nucleoside phosphate metabolic process,BP,biological_process,2
hu35ksuba,GO_BP,GO:0006754,GO:0006754,ATP biosynthetic process,BP,biological_process,8
hu35ksuba,GO_BP,GO:0006760,GO:0006760,folic acid-containing compound metabolic process,BP,biological_process,1
hu35ksuba,GO_BP,GO:0006766,GO:0006766,vitamin metabolic process,BP,biological_process,2
hu35ksuba,GO_BP,GO:0006771,GO:0006771,riboflavin metabolic process,BP,biological_process,2
hu35ksuba,GO_BP,GO:0006772,GO:0006772,thiamine metabolic process,BP,biological_process,2
hu35ksuba,GO_BP,GO:0006777,GO:0006777,Mo-molybdopterin cofactor biosynthetic process,BP,biological_process,2
hu35ksuba,GO_BP,GO:0006778,GO:0006778,porphyrin-containing compound metabolic process,BP,biological_process,1
hu35ksuba,GO_BP,GO:0006779,GO:0006779,porphyrin-containing compound biosynthetic process,BP,biological_process,5
hu35ksuba,GO_BP,GO:0006782,GO:0006782,protoporphyrinogen IX biosynthetic process,BP,biological_process,5
hu35ksuba,GO_BP,GO:0006783,GO:0006783,heme biosynthetic process,BP,biological_process,15
hu35ksuba,GO_BP,GO:0006784,GO:0006784,heme A biosynthetic process,BP,biological_process,5
hu35ksuba,GO_BP,GO:0006785,GO:0006785,heme B biosynthetic process,BP,biological_process,6
hu35ksuba,GO_BP,GO:0006790,GO:0006790,sulfur compound metabolic process,BP,biological_process,4
hu35ksuba,GO_BP,GO:0006796,GO:0006796,phosphate-containing compound metabolic process,BP,biological_process,12
hu35ksuba,GO_BP,GO:0006801,GO:0006801,superoxide metabolic process,BP,biological_process,10
hu35ksuba,GO_BP,GO:0006805,GO:0006805,xenobiotic metabolic process,BP,biological_process,35
hu35ksuba,GO_BP,GO:0006809,GO:0006809,nitric oxide biosynthetic process,BP,biological_process,3
hu35ksuba,GO_BP,GO:0006811,GO:0006811,ion transport,BP,biological_process,225
hu35ksuba,GO_BP,GO:0006812,GO:0006812,cation transport,BP,biological_process,22
hu35ksuba,GO_BP,GO:0006813,GO:0006813,potassium ion transport,BP,biological_process,34
hu35ksuba,GO_BP,GO:0006814,GO:0006814,sodium ion transport,BP,biological_process,48
hu35ksuba,GO_BP,GO:0006816,GO:0006816,calcium ion transport,BP,biological_process,52
hu35ksuba,GO_BP,GO:0006817,GO:0006817,phosphate ion transport,BP,biological_process,4
hu35ksuba,GO_BP,GO:0006820,GO:0006820,anion transport,BP,biological_process,4
hu35ksuba,GO_BP,GO:0006821,GO:0006821,chloride transport,BP,biological_process,33
hu35ksuba,GO_BP,GO:0006824,GO:0006824,cobalt ion transport,BP,biological_process,8
hu35ksuba,GO_BP,GO:0006825,GO:0006825,copper ion transport,BP,biological_process,2
hu35ksuba,GO_BP,GO:0006826,GO:0006826,iron ion transport,BP,biological_process,26
hu35ksuba,GO_BP,GO:0006828,GO:0006828,manganese ion transport,BP,biological_process,6
hu35ksuba,GO_BP,GO:0006829,GO:0006829,zinc ion transport,BP,biological_process,14
hu35ksuba,GO_BP,GO:0006833,GO:0006833,water transport,BP,biological_process,4
hu35ksuba,GO_BP,GO:0006835,GO:0006835,dicarboxylic acid transport,BP,biological_process,1
hu35ksuba,GO_BP,GO:0006836,GO:0006836,neurotransmitter transport,BP,biological_process,12
hu35ksuba,GO_BP,GO:0006839,GO:0006839,mitochondrial transport,BP,biological_process,7
hu35ksuba,GO_BP,GO:0006850,GO:0006850,mitochondrial pyruvate transmembrane transport,BP,biological_process,2
hu35ksuba,GO_BP,GO:0006851,GO:0006851,mitochondrial calcium ion transmembrane transport,BP,biological_process,10
hu35ksuba,GO_BP,GO:0006855,GO:0006855,drug transmembrane transport,BP,biological_process,9
hu35ksuba,GO_BP,GO:0006857,GO:0006857,oligopeptide transport,BP,biological_process,1
hu35ksuba,GO_BP,GO:0006858,GO:0006858,extracellular transport,BP,biological_process,3
hu35ksuba,GO_BP,GO:0006862,GO:0006862,nucleotide transport,BP,biological_process,4
hu35ksuba,GO_BP,GO:0006863,GO:0006863,purine nucleobase transport,BP,biological_process,1
