ontology,go_id,go_name,root_node,n_chips,total_probe_memberships
BP,GO:0006102,isocitrate metabolic process,biological_process,2,10
BP,GO:0006103,2-oxoglutarate metabolic process,biological_process,2,18
BP,GO:0006105,succinate metabolic process,biological_process,1,5
BP,GO:0006107,oxaloacetate metabolic process,biological_process,1,6
BP,GO:0006108,malate metabolic process,biological_process,2,12
BP,GO:0006110,regulation of glycolytic process,biological_process,2,13
BP,GO:0006111,regulation of gluconeogenesis,biological_process,1,7
BP,GO:0006112,energy reserve metabolic process,biological_process,2,11
BP,GO:0006119,oxidative phosphorylation,biological_process,1,18
BP,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",biological_process,2,36
BP,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",biological_process,1,8
BP,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",biological_process,1,14
BP,GO:0006139,nucleobase-containing compound metabolic process,biological_process,2,56
BP,GO:0006144,purine nucleobase metabolic process,biological_process,1,8
BP,GO:0006164,purine nucleotide biosynthetic process,biological_process,2,21
BP,GO:0006166,purine ribonucleoside salvage,biological_process,1,6
BP,GO:0006171,cAMP biosynthetic process,biological_process,1,7
BP,GO:0006172,ADP biosynthetic process,biological_process,1,6
BP,GO:0006177,GMP biosynthetic process,biological_process,1,7
BP,GO:0006182,cGMP biosynthetic process,biological_process,1,14
BP,GO:0006183,GTP biosynthetic process,biological_process,1,5
BP,GO:0006189,'de novo' IMP biosynthetic process,biological_process,1,5
BP,GO:0006198,cAMP catabolic process,biological_process,1,8
BP,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,biological_process,1,8
BP,GO:0006221,pyrimidine nucleotide biosynthetic process,biological_process,2,12
BP,GO:0006248,CMP catabolic process,biological_process,1,5
BP,GO:0006249,dCMP catabolic process,biological_process,1,5
BP,GO:0006259,DNA metabolic process,biological_process,2,42
BP,GO:0006260,DNA replication,biological_process,2,133
BP,GO:0006261,DNA-dependent DNA replication,biological_process,2,31
BP,GO:0006264,mitochondrial DNA replication,biological_process,2,11
BP,GO:0006265,DNA topological change,biological_process,2,17
BP,GO:0006270,DNA replication initiation,biological_process,1,20
BP,GO:0006271,DNA strand elongation involved in DNA replication,biological_process,1,9
BP,GO:0006275,regulation of DNA replication,biological_process,2,50
