source_file,analysis_scope,chip,group,comparison,filter_regime,engine,gene_set_mode,gene_set_name,matrix_key_normal,matrix_key_tumor,n_shared_probes,n_samples_normal,n_samples_tumor,n_features,kappa_normal,kappa_tumor,kappa_delta,direction,p_perm,ci_normal_low,ci_normal_high,ci_tumor_low,ci_tumor_high,effrank_normal,effrank_tumor,effrank_delta,sparsity_normal,sparsity_tumor,sparsity_delta,composite_kappa_normal,composite_kappa_tumor,composite_kappa_delta,status,p_perm_fdr
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,KID/RCC,variance_comparison,complexity,FULL,FULL,m_Kidney.normal,m_Kidney.renal.cell.carcinoma,3000,12,9,3000,151.85,93.81,-58.04,lost,0.06,NA,NA,NA,NA,1.58,1.71,0.1299999999999999,0,0,0,296.95,129.05,-167.89999999999998,ok,0.78
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,LU/LUAD,variance_comparison,complexity,FULL,FULL,m_Lung.normal,m_Lung.lung.adenocarcinoma,3000,5,11,3000,81.83,93.55,11.72,gained,1,NA,NA,NA,NA,1.26,1.97,0.71,0,0,0,130.65,129.27,-1.3799999999999955,ok,1
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,OV/OVAD,variance_comparison,complexity,FULL,FULL,m_Ovary.normal,m_Ovary.ovarian.adenocarcinoma,3000,4,10,3000,43.55,106.26,62.71,gained,0.32,NA,NA,NA,NA,1.3,1.77,0.47,0,0,0,47.2,163.11,115.91000000000001,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,PA/PAAD,variance_comparison,complexity,FULL,FULL,m_Pancreas.normal,m_Pancreas.pancreatic.adenocarcinoma,3000,10,10,3000,137.41,109.28,-28.13,lost,0.5,NA,NA,NA,NA,1.68,1.77,0.09000000000000008,0,0,0,228.37,178.59,-49.78,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,PR/PRAD,variance_comparison,complexity,FULL,FULL,m_Prostate.normal,m_Prostate.prostate.adenocarcinoma,3000,7,8,3000,102.94,97.07,-5.87,lost,0.67,NA,NA,NA,NA,1.23,1.72,0.49,0,0,0,199.69,161.47,-38.22,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,UT/EAC,variance_comparison,complexity,FULL,FULL,m_Uterus.normal,m_Uterus.uterine.adenocarcinoma,3000,6,10,3000,88.78,115.04,26.26,gained,0.83,NA,NA,NA,NA,1.53,1.55,0.020000000000000018,0,0,0,130.81,206.52,75.71000000000001,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,blastomas,Brain/GBM,variance_comparison,complexity,FULL,FULL,m_Brain.normal,m_Brain.glioblastoma,3000,8,10,3000,132.3,91.02,-41.28,lost,0.5,NA,NA,NA,NA,1.6,1.69,0.08999999999999986,0,0,0,232.44,124.46,-107.98,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,blastomas,Brain/MB,variance_comparison,complexity,FULL,FULL,m_Brain.normal,m_Brain.medulloblastoma,3000,8,10,3000,127.33,92.1,-35.23,lost,0.54,NA,NA,NA,NA,1.58,1.82,0.24,0,0,0,227.35,129.41,-97.94,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,leukemias,PB/B-ALL,variance_comparison,complexity,FULL,FULL,m_Blood.normal,m_Bone.Marrow.B.cell.ALL,3000,5,10,3000,81.28,135.66,54.38,gained,0.72,NA,NA,NA,NA,1.57,1.4,-0.17000000000000015,0,0,0,121.15,278.85,157.70000000000002,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,leukemias,PB/T-ALL,variance_comparison,complexity,FULL,FULL,m_Blood.normal,m_Bone.Marrow.T.cell.ALL,3000,5,9,3000,80.38,100.2,19.82,gained,0.92,NA,NA,NA,NA,1.59,1.43,-0.16000000000000014,0,0,0,117.82,173.17,55.349999999999994,ok,0.9966666666666666
